cityName,clusterNum,Radii,Longitude,Latitude
1,0,19490883.58,114.847049,33.31653394
2,1,1035745.663,111.3284404,36.32458674
3,2,11771260.93,110.6818111,35.61291058
4,3,1185081,111.966178,43.41778
5,4,4132999.66,111.4134328,39.0959135
6,5,17136498.07,111.8847352,34.35294204
7,6,13590048.42,111.2953389,34.83764562
8,7,1910578.37,118.8144217,37.10974015
9,8,6447992.141,111.6423176,35.95240629
10,9,2439328.298,115.5131125,36.60748149
11,10,8679954.319,111.4156846,35.20016566
12,11,3584226.043,110.6234936,29.90040505
13,12,18632412.34,112.3824605,34.43540229
14,13,1341866.928,112.1601184,29.33695149
15,14,14969643.76,111.7672085,34.48300737
