cityName,clusterNum,Radii,Longitude,Latitude
湛江,12,852407.699,110.2478313,21.19767257
茂名,12,801620.52,110.8565096,21.8406514
吉林,33,601353.051,126.6613343,43.96783357
菏泽,32,606992.82,115.5928085,35.25581763
商丘,32,502620.699,115.6191325,34.4812205
济宁,32,668572.077,116.757132,35.54211675
新乡,61,583199.249,114.0904007,35.25984767
开封,61,430217.472,114.586298,34.7931945
南阳,49,439889.484,112.4016753,32.94634863
襄阳,49,591179.146,112.1860804,32.024058
聊城,47,538961.754,115.8303363,36.46679633
邯郸,47,486839.13,114.0676485,36.60620463
南宁,1,588199.811,108.4334563,22.88990125
株洲,48,202050.2,113.4195846,27.16960857
萍乡,48,214185.47,113.9530587,27.654895
湘潭,48,223218.76,112.6554883,27.84824567
吴忠,23,429607.456,106.1380652,37.3510507
潍坊,31,369458.752,119.119821,36.5270092
嘉兴,38,129007.485,120.5994704,30.464984
杭州,38,324783.199,120.2165165,30.290564
湖州,38,77730.46,119.984071,30.7951786
宜宾,24,106915.668,104.6124035,28.7714875
自贡,24,155934.159,104.7557355,29.2837275
万州区,7,224157.74,108.399826,30.754938
梁平县,7,12,107.816946,30.715111
马鞍山,43,171474.637,118.50216,31.707523
芜湖,43,210581.562,118.2209677,31.162821
临汾,63,183261.739,111.5397817,36.10624718
漯河,56,270740.96,113.975405,33.650154
许昌,56,90069.9,113.8292183,34.09403833
驻马店,56,154692.12,114.0268054,33.0606086
平顶山,56,251718.851,113.020647,33.87309475
周口,56,37263.84,114.8806877,33.451755
龙岩,58,19846.328,117.0594799,25.30397982
嘉峪关,50,94908.775,98.1318798,39.649468
威海,17,87788.221,121.8809743,37.20103933
烟台,17,201719.507,121.0580675,37.18688125
鹰潭,39,87435.08,116.6214888,28.247676
宜春,39,106732.65,115.6849602,28.075735
上饶,39,238787.12,117.674308,28.5321626
石家庄,52,154392.146,114.5529466,37.94940538
阳泉,52,7027.5,113.6797343,37.933832
晋中,52,151284,112.7075559,37.3435619
楚雄彝族自治州,65,18424.57,101.7011717,25.45794237
大同,8,67836.9,113.6955098,39.53778685
朔州,8,52695,112.8759504,39.5734725
济源,19,192547.581,113.212123,35.811748
晋城,19,220913.8,112.8429263,35.59906538
焦作,19,222989.903,113.2030136,35.2229182
长治,19,75221.29,113.0466602,36.35555225
鹤壁,19,5009.42,114.2871495,35.7329685
安顺,51,62405.6,105.9915616,26.2917469
贵阳,51,113284.063,106.657894,26.692603
黔西南布依族苗族自治州,51,195012.83,106.6728043,25.73920117
六盘水,51,100853.027,104.8255948,26.10859645
永川区,66,82064.68,105.8589613,29.3303045
江津区,66,17116.576,106.2310939,29.20641446
九龙坡区,66,19556.4,106.413993,29.372378
渝中区,66,20197.275,106.547488,29.549881
荣昌县,66,566,105.5559328,29.3905085
綦江区,66,74,106.7090228,28.84267033
来宾,57,55237.5,109.242735,23.740658
北海,27,38578,109.158265,21.537969
宝鸡,22,262024.2,107.1580653,34.45838615
随州,68,6644.43,113.727115,31.676787
荆门,68,128138.84,112.6548793,31.087527
宝坻区,54,23247.15,117.2338937,39.53956133
河北区,54,4060,117.210114,39.135656
东丽区,54,58,117.438557,39.0614
静海县,54,34407.705,116.930166,38.82219
大兴区,54,14651,116.332264,39.721495
沧州,54,201323.454,116.7379838,38.81804955
唐山,54,36029.62,118.2863632,39.83660015
盘锦,34,78295.398,121.945291,41.22132525
鞍山,34,197334.051,122.7097721,41.0382352
锦州,34,27068.783,121.6582299,41.46229322
辽阳,34,1916,122.3889748,41.72953038
亳州,41,100474.095,116.018797,33.6684245
宿州,41,89098.3,117.1108362,33.87121483
淮北,41,20,116.8027375,33.918412
蚌埠,41,164448.839,117.375377,33.05433967
阜阳,41,10345.7,115.7478487,32.96317533
黄山,15,1814.65,118.2295332,29.834244
鄂尔多斯,70,69494,107.8919133,39.97812567
巴彦淖尔,70,62490.12,108.4599757,40.6940683
温州,76,83374.007,120.7228286,27.95102122
丽水,76,152024.7,120.1097633,28.41312967
惠州,6,35463.5,114.5165223,22.9680035
广州,6,10995,113.3095084,23.1061828
辽源,18,2055,125.2017828,42.832505
通化,18,94387.46,125.6645098,42.00088986
西宁,2,74863.649,101.5558533,36.67561733
武威,2,76837.958,103.0125969,37.58100546
黄石,30,2790.02,115.0323723,30.08661775
鄂州,30,850.49,114.8429897,30.40900183
黄冈,30,120894.209,115.1166022,30.55734392
武汉,30,98032,114.3967714,30.39258082
咸宁,30,22280.445,114.2269103,29.86149363
泰安,25,82720.816,117.1960852,36.14405383
枣庄,25,75945.764,117.2432293,34.93581575
抚州,9,9069,116.0646783,27.72853233
吉安,9,10090.65,115.153842,27.41717957
扬州,0,28668.688,119.464433,32.4240575
泰州,0,42517.748,120.0501365,32.531616
盐城,0,83473.27,119.9833425,33.33916675
淮安,0,4512.993,119.03317,33.648823
渭南,60,31084.18,109.8032025,34.9352276
西安,60,61806.933,109.097741,34.34612833
商洛,60,3506,109.9063637,33.69104217
